variable,label
trust_soc,Most people
trust_parl,Parliament
trust_leg,Legal system
trust_police,Police
trust_politicians,Politicians
trust_polpart,Political parties
trust_ep,European Parliament
trust_un,United Nations
trust_church,Church
trust_army,Army
trust_educ,Education system
trust_press,Press
trust_labunion,Labor unions
trust_civserv,Civil service
trust_socsec,Social security
trust_gov,Government
trust_companies,Major companies
trust_envorg,Environmental organizations
trust_health,Healthcare system
trust_eu,European Union
trust_nato,NATO
trust_socmedia,Social media
trust_press_newsmedia,News media
trust_locauth,Local autorities
trust_banks,Banks
trust_charity,Charity organizations
trust_pension,Pension system
trust_socbenefit,Social benefits system
